Suit,Number,FilePath
Clubs,2,Cards/2_of_Clubs.png
Clubs,3,Cards/3_of_Clubs.png
Clubs,4,Cards/4_of_Clubs.png
Clubs,5,Cards/5_of_Clubs.png
Clubs,6,Cards/6_of_Clubs.png
Clubs,7,Cards/7_of_Clubs.png
Clubs,8,Cards/8_of_Clubs.png
Clubs,9,Cards/9_of_Clubs.png
Clubs,10,Cards/10_of_Clubs.png
Clubs,11,Cards/Jack_of_Clubs.png
Clubs,12,Cards/Queen_of_Clubs.png
Clubs,13,Cards/King_of_Clubs.png
Clubs,14,Cards/Ace_of_Clubs.png
Diamonds,2,Cards/2_of_Diamonds.png
Diamonds,3,Cards/3_of_Diamonds.png
Diamonds,4,Cards/4_of_Diamonds.png
Diamonds,5,Cards/5_of_Diamonds.png
Diamonds,6,Cards/6_of_Diamonds.png
Diamonds,7,Cards/7_of_Diamonds.png
Diamonds,8,Cards/8_of_Diamonds.png
Diamonds,9,Cards/9_of_Diamonds.png
Diamonds,10,Cards/10_of_Diamonds.png
Diamonds,11,Cards/Jack_of_Diamonds.png
Diamonds,12,Cards/Queen_of_Diamonds.png
Diamonds,13,Cards/King_of_Diamonds.png
Diamonds,14,Cards/Ace_of_Diamonds.png
Hearts,2,Cards/2_of_Hearts.png
Hearts,3,Cards/3_of_Hearts.png
Hearts,4,Cards/4_of_Hearts.png
Hearts,5,Cards/5_of_Hearts.png
Hearts,6,Cards/6_of_Hearts.png
Hearts,7,Cards/7_of_Hearts.png
Hearts,8,Cards/8_of_Hearts.png
Hearts,9,Cards/9_of_Hearts.png
Hearts,10,Cards/10_of_Hearts.png
Hearts,11,Cards/Jack_of_Hearts.png
Hearts,12,Cards/Queen_of_Hearts.png
Hearts,13,Cards/King_of_Hearts.png
Hearts,14,Cards/Ace_of_Hearts.png
Spades,2,Cards/2_of_Spades.png
Spades,3,Cards/3_of_Spades.png
Spades,4,Cards/4_of_Spades.png
Spades,5,Cards/5_of_Spades.png
Spades,6,Cards/6_of_Spades.png
Spades,7,Cards/7_of_Spades.png
Spades,8,Cards/8_of_Spades.png
Spades,9,Cards/9_of_Spades.png
Spades,10,Cards/10_of_Spades.png
Spades,11,Cards/Jack_of_Spades.png
Spades,12,Cards/Queen_of_Spades.png
Spades,13,Cards/King_of_Spades.png
Spades,14,Cards/Ace_of_Spades.png
